SBY 19:25:20 [hyperram_bmc] Removing directory 'hyperram_bmc'.
SBY 19:25:20 [hyperram_bmc] Copy 'src/hyperram.v' to 'hyperram_bmc/src/hyperram.v'.
SBY 19:25:20 [hyperram_bmc] engine_0: smtbmc
SBY 19:25:20 [hyperram_bmc] base: starting process "cd hyperram_bmc/src; yosys -ql ../model/design.log ../model/design.ys"
SBY 19:25:20 [hyperram_bmc] base: Warning: wire '\latency_cycles' is assigned in a block at hyperram.v:89.4-89.95.
SBY 19:25:20 [hyperram_bmc] base: Warning: wire '\latency_cycles' is assigned in a block at hyperram.v:91.4-91.103.
SBY 19:25:20 [hyperram_bmc] base: Warning: wire '\latency_cycles' is assigned in a block at hyperram.v:97.4-97.96.
SBY 19:25:20 [hyperram_bmc] base: Warning: wire '\latency_cycles' is assigned in a block at hyperram.v:99.4-99.104.
SBY 19:25:20 [hyperram_bmc] base: Warning: wire '\hb_dq_o' is assigned in a block at hyperram.v:342.13-342.59.
SBY 19:25:20 [hyperram_bmc] base: Warning: wire '\hb_dq_o' is assigned in a block at hyperram.v:343.15-343.64.
SBY 19:25:20 [hyperram_bmc] base: Warning: wire '\hb_dq_o' is assigned in a block at hyperram.v:344.15-344.31.
SBY 19:25:23 [hyperram_bmc] base: finished (returncode=0)
SBY 19:25:23 [hyperram_bmc] smt2: starting process "cd hyperram_bmc/model; yosys -ql design_smt2.log design_smt2.ys"
SBY 19:25:24 [hyperram_bmc] smt2: finished (returncode=0)
SBY 19:25:24 [hyperram_bmc] engine_0: starting process "cd hyperram_bmc; yosys-smtbmc --presat --unroll --noprogress -t 100  --append 0 --dump-vcd engine_0/trace.vcd --dump-vlogtb engine_0/trace_tb.v --dump-smtc engine_0/trace.smtc model/design_smt2.smt2"
SBY 19:25:38 [hyperram_bmc] engine_0: ##   0:00:14  Checking assumptions in step 24..
SBY 19:25:38 [hyperram_bmc] engine_0: ##   0:00:14  Checking assertions in step 24..
SBY 19:25:39 [hyperram_bmc] engine_0: ##   0:00:15  Checking assumptions in step 25..
SBY 19:25:39 [hyperram_bmc] engine_0: ##   0:00:15  Checking assertions in step 25..
SBY 19:25:40 [hyperram_bmc] engine_0: ##   0:00:16  Checking assumptions in step 26..
SBY 19:25:41 [hyperram_bmc] engine_0: ##   0:00:16  Checking assertions in step 26..
SBY 19:25:42 [hyperram_bmc] engine_0: ##   0:00:18  Checking assumptions in step 27..
SBY 19:25:42 [hyperram_bmc] engine_0: ##   0:00:18  Checking assertions in step 27..
SBY 19:25:43 [hyperram_bmc] engine_0: ##   0:00:19  Checking assumptions in step 28..
SBY 19:25:43 [hyperram_bmc] engine_0: ##   0:00:19  Checking assertions in step 28..
SBY 19:25:44 [hyperram_bmc] engine_0: ##   0:00:20  Checking assumptions in step 29..
SBY 19:25:44 [hyperram_bmc] engine_0: ##   0:00:20  Checking assertions in step 29..
SBY 19:25:45 [hyperram_bmc] engine_0: ##   0:00:21  Checking assumptions in step 30..
SBY 19:25:45 [hyperram_bmc] engine_0: ##   0:00:21  Checking assertions in step 30..
SBY 19:25:47 [hyperram_bmc] engine_0: ##   0:00:22  Checking assumptions in step 31..
SBY 19:25:47 [hyperram_bmc] engine_0: ##   0:00:23  Checking assertions in step 31..
SBY 19:25:48 [hyperram_bmc] engine_0: ##   0:00:24  Checking assumptions in step 32..
SBY 19:25:48 [hyperram_bmc] engine_0: ##   0:00:24  Checking assertions in step 32..
SBY 19:25:49 [hyperram_bmc] engine_0: ##   0:00:25  Checking assumptions in step 33..
